APC,Bull,2013-11-03T11:18:25Z
DDD,Bull,2013-11-03T11:18:25Z
OPK,Bull,2013-11-03T11:18:25Z
PEP,Bull,2013-11-03T11:18:25Z
GRPN,Bull,2013-11-03T11:18:25Z
KO,Bear,2013-11-03T11:18:25Z
V,Bull,2012-05-25T10:38:10Z
KOG,Bull,2012-05-25T10:38:10Z
GLW,Bear,2012-05-25T10:38:10Z
NYX,Bear,2012-05-25T10:38:10Z
FB,Bear,2012-05-25T10:38:10Z
TVIX,Bear,2012-05-25T10:38:10Z
GME,Bear,2012-05-25T10:38:10Z
C,Bear,2012-05-25T10:38:10Z
EA,Bear,2012-05-25T10:38:10Z
V,Bull,2014-04-30T09:46:37Z
KOG,Bull,2014-04-30T09:46:37Z
GLW,Bear,2014-04-30T09:46:37Z
NYX,Bear,2014-04-30T09:46:37Z
FB,Bear,2014-04-30T09:46:37Z
TVIX,Bear,2014-04-30T09:46:37Z
GME,Bear,2014-04-30T09:46:37Z
C,Bear,2014-04-30T09:46:37Z
EA,Bear,2014-04-30T09:46:37Z
NAV,Bull,2009-08-11T14:25:35Z
CSTR,Bull,2009-08-11T14:25:35Z
NUE,Bull,2009-08-11T14:25:35Z
EME,Bull,2009-08-11T14:25:35Z
VFC,Bull,2009-08-11T14:25:35Z
ORCL,Bull,2009-08-11T14:25:35Z
CY,Bull,2009-08-11T14:25:35Z
CSCO,Bull,2009-08-11T14:25:35Z
X,Bear,2009-08-11T14:25:35Z
HBI,Bear,2009-08-11T14:25:35Z
DELL,Bear,2009-08-11T14:25:35Z
NAV,Bull,2011-05-08T11:50:32Z
CSTR,Bull,2011-05-08T11:50:32Z
NUE,Bull,2011-05-08T11:50:32Z
EME,Bull,2011-05-08T11:50:32Z
VFC,Bull,2011-05-08T11:50:32Z
ORCL,Bull,2011-05-08T11:50:32Z
CY,Bull,2011-05-08T11:50:32Z
CSCO,Bull,2011-05-08T11:50:32Z
X,Bear,2011-05-08T11:50:32Z
HBI,Bear,2011-05-08T11:50:32Z
DELL,Bear,2011-05-08T11:50:32Z
WEC,Bull,2011-11-16T11:06:55Z
DE,Bull,2011-11-16T11:06:55Z
CHK,Bull,2011-11-16T11:06:55Z
CMG,Bull,2011-11-16T11:06:55Z
FLR,Bull,2011-11-16T11:06:55Z
CBI,Bear,2011-11-16T11:06:55Z
YONG,Bear,2011-11-16T11:06:55Z
HTZ,Bull,2012-06-03T11:23:05Z
MWE,Bull,2012-06-03T11:23:05Z
SRE,Bull,2012-06-03T11:23:05Z
FSLR,Bear,2012-06-03T11:23:05Z
ALGT,Bear,2012-06-03T11:23:05Z
